date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:45	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2002%20Dec%202021%2013:42:46%20GMT	https://fonts.googleapis.com/robots.txt		(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:46	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Dec%202021%2013:42:46%20GMT	https://fonts.gstatic.com/robots.txt		(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:47	66464/66464	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2019%20Mar%202021%2004:35:51%20GMT	https://fonts.gstatic.com/s/inriasans/v4/ptRMTiqXYfZMCOiVj9kQ5O4.ttf	C:/Meus%20Sites/vsc3/fonts.gstatic.com/s/inriasans/v4/ptRMTiqXYfZMCOiVj9kQ5O4.ttf	(from https://fonts.googleapis.com/css2?family=Inria+Sans:wght@400;700&family=Oswald&display=swap)
10:42:48	66360/66360	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2019%20Mar%202021%2004:35:54%20GMT	https://fonts.gstatic.com/s/inriasans/v4/ptRPTiqXYfZMCOiVj9kQ3FLdDQs.ttf	C:/Meus%20Sites/vsc3/fonts.gstatic.com/s/inriasans/v4/ptRPTiqXYfZMCOiVj9kQ3FLdDQs.ttf	(from https://fonts.googleapis.com/css2?family=Inria+Sans:wght@400;700&family=Oswald&display=swap)
10:42:48	90396/90396	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2010%20Aug%202021%2000:16:41%20GMT	https://fonts.gstatic.com/s/oswald/v40/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvgUE.ttf	C:/Meus%20Sites/vsc3/fonts.gstatic.com/s/oswald/v40/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvgUE.ttf	(from https://fonts.googleapis.com/css2?family=Inria+Sans:wght@400;700&family=Oswald&display=swap)
10:42:49	85/85	---M-Z	200	added ('OK')	text/plain	date:Thu,%2002%20Dec%202021%2013:42:49%20GMT	https://player.vimeo.com/robots.txt		(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:49	1630/1630	---M--	200	added ('OK')	image/jpeg	etag:d5d38191344bc5f578828227023dcecb	https://i.vimeocdn.com/video/1297190120-dd1b66bf6f4c46239ca7a1f808556a49100187b194d63a355.jpg?mw=80&q=85	C:/Meus%20Sites/vsc3/i.vimeocdn.com/video/1297190120-dd1b66bf6f4c46239ca7a1f808556a49100187b194d63a355228e.jpg	(from https://player.vimeo.com/video/644889334)
10:42:50	20/20	---MCZ	404	error ('Not%20Found')	text/plain	date:Thu,%2002%20Dec%202021%2013:42:50%20GMT	https://pay.hotmart.com/robots.txt		(from https://luananunespereira.site/pv/?ref=Y61642123K&hsrc=VHV0MjIzNQ%3D%3D)
10:42:50	76684/76684	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212b8c-17d776a6850%22	https://pay.hotmart.com/assets/js/ie-11-polyfill.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/assets/js/ie-11-polyfill.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:50	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-17d776a6850%22	https://pay.hotmart.com/favicon.ico	C:/Meus%20Sites/vsc3/pay.hotmart.com/favicon.ico	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:51	3869/3869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1d-17d776b7da8%22	https://pay.hotmart.com/_nuxt/78d242a.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/78d242a.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:52	2234961/2234961	---MCZ	200	added ('OK')	application/javascript	etag:W/%22221a51-17d776b7da8%22	https://pay.hotmart.com/_nuxt/3812aaf.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/3812aaf.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:52	1827357/1827357	---MCZ	200	added ('OK')	application/javascript	etag:W/%221be21d-17d776b7da8%22	https://pay.hotmart.com/_nuxt/fdee477.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/fdee477.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:53	4355523/4355523	---MCZ	200	added ('OK')	application/javascript	etag:W/%224275c3-17d776b7da8%22	https://pay.hotmart.com/_nuxt/10c8d46.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/10c8d46.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:54	57294/57294	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dfce-17d776b7da8%22	https://pay.hotmart.com/_nuxt/6e8a03f.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/6e8a03f.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:54	311348/311348	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c034-17d776b7da8%22	https://pay.hotmart.com/_nuxt/b2a5719.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/b2a5719.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:55	388459/388459	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ed6b-17d776b7da8%22	https://pay.hotmart.com/_nuxt/fc1ddd6.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/fc1ddd6.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:55	1224977/1224977	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212b111-17d776b7da8%22	https://pay.hotmart.com/_nuxt/911d858.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/911d858.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:56	127218/127218	---MCZ	200	added ('OK')	application/javascript	etag:W/%221f0f2-17d776b7da8%22	https://pay.hotmart.com/_nuxt/60a9661.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/60a9661.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:56	99799/99799	---MCZ	200	added ('OK')	application/javascript	etag:W/%22185d7-17d776b7da8%22	https://pay.hotmart.com/_nuxt/77b8a22.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/77b8a22.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:56	907141/907141	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd785-17d776b7da8%22	https://pay.hotmart.com/_nuxt/ada123e.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/ada123e.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:58	129695/129695	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa9f-17d776b7da8%22	https://pay.hotmart.com/_nuxt/5d5ac85.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/5d5ac85.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:42:59	191007/191007	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ea1f-17d776b7da8%22	https://pay.hotmart.com/_nuxt/f5e1900.js	C:/Meus%20Sites/vsc3/pay.hotmart.com/_nuxt/f5e1900.js	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:43:00	16368/16368	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Dec%202021%2013:43:00%20GMT	https://player.vimeo.com/video/645382848?api=1	C:/Meus%20Sites/vsc3/player.vimeo.com/video/645382848cc43.html	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:43:00	43/43	---M--	404	error ('Not%20Found')	image/gif	date:Thu,%2002%20Dec%202021%2013:43:00%20GMT	https://pay.hotmart.com/2zj6oc7wu.png	C:/Meus%20Sites/vsc3/pay.hotmart.com/2zj6oc7wu.png	(from https://pay.hotmart.com/K59415861B?off=qqbj5n5c&checkoutMode=10&bid=1638452557529)
10:43:01	1567/1567	---M--	200	added ('OK')	image/jpeg	etag:b74a09e6a8e1c4c92948d38ef8c447be	https://i.vimeocdn.com/video/1298141944-37ea0da0d19d60467a0c775a4756451e3fa053c76e8d516c2.jpg?mw=80&q=85	C:/Meus%20Sites/vsc3/i.vimeocdn.com/video/1298141944-37ea0da0d19d60467a0c775a4756451e3fa053c76e8d516c2228e.jpg	(from https://player.vimeo.com/video/645382848?api=1)
